textID,text
6a14956779,@WilliamFBrasky @TheRandomBoner i feel the warm fuzzies.
7c2fcb712e,@Willstreakk @Tycff10111 according to you my place is in kitchen. Excuse me while I take out the trash
cdd172d6a7,@Willstreakk @Tycff10111 by trash I meant u lmaooo
d2a21b3cb7,@Wimp_W_Diesel real shit bro yo hoe told me if Smoothie King had straws i ca fuck
799e17e7a7,@Wimp_W_Diesel yu forgot we beat yall? Thats like a garbage man calling a janitor trash
0a49cdbdf6,@Wisdom_Stature bitch we coulda been at the stores looking
4a13c1093d,"@Wizards_DnD @JimZub tranny dragons, eh? I know some people that will love this!"
9407ce6ccc,@Woahitsjulian whatchu doin today nig?
820f19ca44,@Woahitsjulian wud up nig I gotta new number 3136139299 text me
683bb73c09,@WolfgangAbedeus @NickFilancia80 @clair3ismon3y You can tease this dick faggot
0d14593b11,"@WolfgangAbedeus Your bitch called, she was missing this dick"
9ac13b3739,@Woody_AFC @MrGAM3R49 @MANIAC3X fuck outta here faggot that wouldn't even be a fair
16ee71e6df,"@Woody_AFC lmaoo typical nig nog bombs, should've got pics"
f5d47f04f5,@WorIdStarFvnny @alysssa_3 bitch please http://t.co/2QysCT5INk
e131c496a2,@WorldZWrestling Can we not use the word faggots?
bc6d7b4364,@Worth_BILLions &#128528; bitch you got me fucked up &#128514;&#128514;
c87be630b5,@Worth_BILLions @MystroApollo &#128514;bitch you always hatin lmao
e4ad1684bb,"@Wow_Bullet ""cuz i thought i got a wife, but i picked a hoe."" IM LOVIN THESE SONGS MAN. Keep it coming"
f7835156a5,@Wu_Pac @bestfrycook stfu bitch
03bb148b87,@Wuzzername could get half a band off me RT @ToeKnee2GX: Fellas&#8230;. @ your dope female followers and state how much you&#8217;d pay for their pussy
b47c430fda,@WyattNuckels *thought retard
0234e16010,@WyattNuckels @DarienDaywalt hear that you dumb bitch he said no one likes you!!!!! #ohshitnigga
be9ed19513,@WyattNuckels @grizzboadams bitch I want it all
bf7240df91,@WyattNuckels @grizzboadams glad you could get your daily dose of giggles faggot
2f883c6eb1,@WyattNuckels @grizzboadams hey faggot spell faggot right you dipshit
a1320a5050,@WyattNuckels @grizzboadams shut the fuck up fag ill beat the shit outta you
d72a60bee8,@WyattNuckels @matt_petrie22 yeah nigga I get bitches and Matt's fucking gay as shit
bc9ebe0002,@WyattNuckels I'm not fake bitch meet me after school then nigga
64ddc1f8a2,@WyattNuckels cause ima blindside the shit outta you niggah!
03f6b8d900,@WyattNuckels fuck you bitch smd
2d475b1b23,@WyattNuckels haha bitch
87473f5175,@WyattNuckels insecure much put all you insults in one tweet. Fucking dumbass dude I'd wreck you you faggot
7a09871d21,@WyattNuckels just smokin that Cali smoke and fuckin your bitch wbu
96ec2855e4,@WyattNuckels shut up niglet
45cf9ba329,@WyattNuckels sun follow me you 4' bitch you can't do shit so stfu faggot
bab68144cd,@WyattNuckels then learn to read bitch
fc49e426f5,@WyattNuckels who do you think I am bitch
a172818c9e,@XANAXDREAMS &#128557;&#128557;&#128557;&#128557; about the beanies but steal my description but u aren't salty or fake
036191bb61,@XNastyy Lol you probably right. Fuck you bitch !! *in spanish*
3ef85c201c,"@XXXratedLIPSS I always want to speak to ppl I converse with on twitter but they always look at me like ""bitch, Idk you in REAL life.."" smh"
ea348ea738,@X_XPDOTJDOT she remembers the dick lol and wants it again. I recommend you shoot a bitch if she show up. She might snap
fd10f463c9,@Xianilee BOOM bitches !
e6e02e1be6,@XxminijokerXx I HATE birds! They just piss me off about the fact that I can't fly!
8112c62d00,@YBEToot I like tweeting you like this. .. wen yu aint talking to all yo hoes!!! I be like...... ill wait.
0f89951346,@YFN_NESHA I'm tired of dat bitch mannn&#128553;&#128553;&#128553;
f3ec0395b0,@YFN_NESHA all the great QB's fold under pressure gshit if u blitz Peyton ass he gon gook out
37ffa83550,@YGJOHNSTON it's always a white bitch doing something OP lol like they give zero fucks when it comes to dick &#128514;&#128514;
cb8c730261,@YGJOHNSTON that white bitch is a G for choppin that whole line of niggas &#128514;&#128514;
be33b5cb9a,"@YaBoyBoone ima miss smiley and graham and daniel tho, they were pretty cool to me when i was there, ima beat andrews bitch ass every day"
4fed31099f,"@YaGirlFlutter haha i was about to say... Damn i just called you a bad bitch, i mean mean bitch lmfao"
de288eb45b,@YaGirlSmalls quit using song lyrics queer
7ab82d9fda,@YaNiggaBuu janemba is better than yo pussy ass
9d8a45d308,@YamanakaValerio bitch it's not til Thursday
d25c4179f6,"@Yankees @marines1994 Daggone it Twins, kick it up a notch... Time to beat the Yankees..."
6cd35dd82e,@Yankees Only good thing about this season. #FireCashman .
65275b51e2,@Yankees Scores don't matter in Spring Training man!
9fae9e3145,@Yankees and we all fell asleep @Frizzle18
e515132ae4,@Yankees go away already @Frizzle18
df3c7485ae,@Yankees isn't that kind of saying the #Braves won't make it to the World Series? LOL
bd8ba2ad7e,@Yankees probably time to put this twitter feed to bed #nyy
58be40735c,@Yankees team sucks
b5a0a16fd7,@Yankees ugh
044f146e5c,@YardieBoyHeem pussy watch it nuh mi Neva lov mon. -badmon
a8e17db0cc,@Yaremisxo way other hoes boo
abda0ac082,@Yaremisxo whatever Neymar trash
b01506af48,@YeIIowbang I hate that faggot he so corny
53969f2468,@YeIIowbang mannn Mexicans in Houston LOVE their high school freshman hoes
4df63939ef,@YeIIowbang yeah people know he's not trash but his game is limited and it showed late in games against Portland
f43efa3560,"@Yeahhhmans way to take orders like a little bitch, bitch"
c89e41fc7c,@YellabeautyKC home coon
b9ec075666,@YeridZee bitches better watch out because we're running the tables tonight! &#128521;&#127867;&#127866;&#128588;
ca333e378d,@Yes_THAT_KiKi hey send me your songs I need to put them hoes on a CD and bang em when I ride around
5a91b175f6,@YessMe_SHAY I want my poms back lmfao
ac00adda49,@YesseSmith I was born yellow
cf9dc7479a,"@Yg_Trece I agree. You never know she may have been begging to get dropped, makes her pussy wet guaranteed. She married him right after !"
005e2e60d3,"@YouBoysInGreen hahaha, made ya eat crow...."
0b1fad03e9,"@YouTalk_ILive I'm crazy, and Wayne can rap about pussy 3 songs in a row"
2c72a5582a,@Youlove_Tyler lol girrrrl these bitches crazzzzy
af0778ed50,@YoungJeezy got me feelin like #trappin ain't dead. Got me ready to call the #guala! #Salute da truth! #SeenItAll #SeenItAllTheAutobiography
1e0416ec46,@YoungRecklesss_ nahh bitch yu always playn yu almost got her feelings hurt
1e6f72ea44,@YoungRecklesss_ the fuck das wat bitches wit uh fuckd up mouf do &#128514;&#128514;
cc930f7aa8,"@YourDudeFerg @SammyLightning_ I wish you wood, like a tree in this bitch."
9c202174a3,"@YourDudeFerg I wish you wood, Like a tree in this bitch"
b9a1df7a8a,@YourDudeFerg gay fags
7b3132d3cc,@YourDudeFerg like a tree in this bitch? Asshat.
5f80970983,@Yummys_World &#8220;@ThoughtsOfRandy @STROCORLEONE + That bitch already got past demons in her.Seeding her up just gone fuse more.
f008d91039,@YunGMiGo @BigMoneyNiquee &#128530; nicca fucc yu
c223721eed,@YunGMiGo @BigMoneyNiquee lol send dat nicca clean out talmbout some n what if he really is &#128514;&#128514;&#128514;
7f8a3308f8,@YunGMiGo I said pussy dat ass what be on yo tongue boy
3f7adda0a4,@YunGMiGo lol da only reason I can't talk bout da present is cuz my nicca hurt n ain't played all yr
6c60cf0bb2,@YungCofGOA @12YearsAHaitian need to start mcbob because Williams only shoot let him play with bird
f77651be05,@YungIll314 everybody in Dot Mob/O-Red/Mickey Factz when you battled Clips he wore some ancient hong kong shit + 2 different colored hi-tops
aff740a028,"@YungIll314 my lifestyles raw dog, one magnum will put a dickhead in the hole, and that was cumin out of the pussy lips"
c3f1116734,@YungOBG hoe meter went off!
4b57011c85,@YungRajee Shit ill pay the premium to get away from these anything ass hoes
cb4266c560,@YungRetweet bitch
dcb3bb2912,@Yung_Messiah @NoMeek_JustMilz swear to god log on later. I'm posting the score on every social network you bitch ass nigga
f61b40624e,@Yung_Messiah nah he pussy he won't
b6d2229b03,@YvngHerbo @PRAYINFORGEMS sup fat bitch
299fda8c5b,@ZELNO96 Someone told me cuz some ppl like to use it as bitch some females don't like being calles female but meh *shrugs*
fbea09d42d,@ZELNO96 one sick bitch
1b62e0c672,@ZP3_ the little girl Tom Sawyer gets trapped in the cave along with Injun Joe and almost die. injun Joe dies and they find his treasure
2452a0aa6a,@ZRexxx @SlowDollaz we take your bitch then recieve head from your mom
8a821c6d63,@Z_MEGA fasho fasho .. Hurry ya ass up nicca
0f93ebfb23,"@Z_M_G_ &#128514;&#128514;&#128514;&#128514;&#128514; wow. I love how you called yourself a slut, but no really. You wouldn't ever cheat on a girl, bitches are so dumb."
dd655c5aee,@Z_M_G_ thirsty hoes &#128129;
e94ceb6edd,@ZachFulton72 they got some cold white hoes in Knoxville tho don't they? right there on the strip? Boaaa
61e8b484df,@ZachIrving I called people kikes and a lot of fucks
5be41389ce,@Zach_Dorsey thirsty hoe
bd0f0ebc57,@Zach_Thein you pussy
772ba56ce6,@ZakSitton lol cracker
390f00c85a,@ZaneIsClasker @garrett_winker no I like pussy why would I be ashamed of that
4a680661d5,@ZaneIsClasker Photoshop putting my head on fags is not proof.
e2505e6219,@ZaneIsClasker the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro
0d85e6d515,@ZayCoolAF #yeet we gotta do at least 3 and drop them bitches in like 2 month intervals or some shit
086671fad9,@ZayySwanson @_EmaniMilan I'm jus Tryn figure out when all dem niccas was together like dat
9c99cd9396,@Zedd finger my throbbing pussy flaps
f35cc8bb35,@Zell_GotDaLOUD bitch tryna get in for free promoting n shit lmaooo I see you in tha cut
5ba64af2fd,@Zhugstubble eat bitch
dbd82ea5bd,@Zhugstubble meet up eat bitch
8b6c53f38b,@Zhugstubble meet up so I can Molly whoop yo bitch ass
e8cb7f18bd,"@Zhugstubble naw nigga what's up with em hands, what happened to the shit you was talking a couple a month's ago, eat bitch"
9ea273deaa,@ZigzagsxKush Katy and clear lake hoes
cf0d831059,@ZitlalyL &#128529;&#128529;&#128529;&#128529;&#128529;&#128529;&#128529;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128548;&#128548;&#128548;&#128548;&#128548; How is he supposed to attract bitches
8f0bafc9dc,@ZitlalyL You will and he's gonna get all dem bitches &#128513;
0888d7dab7,@Zohdaa fags
04d3c2d056,"@Zonozi @QuantRyse @Hockeypuck55 Classic drunk Carter texts never fail. Hey stfu I'm coming over. Oops, I'm here come the fuck outside bitch"
8bbaca6e4b,@Zwaaad fag
4a9529e753,@ZwengerSierra how about you @ me bitch
8be2d4f69f,@_2kkz lol bitch I'm indian!!!!!! You op
d9c10546e6,@_Aly_baby_ well at least If you're going to do somthing you do it.. And don't bitch out.. Even when it's the wrong thing &#128527;
90be8eaffb,"@_Andrizzy_ aw drake is, do you sit in the corner and cry when you listen to him? lmfao, pussy dick rider, how drakes cock taste faggot."
8ba332dbbd,@_Andsss cool cool fuck wit u too nicca
1086c26e82,@_Angeel14 thirsty ass hoe go to sleep &#128514;&#128514;
b357b9e7d2,@_BDOE bro u trash at that zombies
0050eebd18,@_B_R_Y_C_E_ what happened to going fishing bitch?
426cb788e5,@_BaDa_Bing If it continues.. I turn pussy lol
d30d23e543,@_BatGangBitchh no hoe
04a204382a,@_BeautifulKeezy @darwinjames125 point A ppint an bitch &#128514;&#128514;&#128514;&#128128;
2bc1a7126b,@_BeautifulKeezy bitch I died when I read that.
a2fb29c072,@_BeautifulKeezy bitch Wea you going.
a2bbae6c4c,@_BeautifulKeezy lmfao bitch was I talking to you &#128514;&#128514;
0ce30035ac,@_BeautifulKeezy yess bitch. Messyyy
b3505b0aa7,@_BeverlyNoHills bitch... So they can't hold a real nigga down fa long.. &#128546;&#128546;&#128546; bruh ask mama to pay this ticket fa me!!!!!
99fcc18a8d,"@_BeverlyNoHills you so fucking nasty. You got held to the wrong pussy. I'm telling , you bet not ever kiss me again!! I'm breaking up w| u!"
2b6bc6920b,@_BradleyC skate 2 trash :(:( skate 3 had goat DLC
d40dd3b17b,@_BrwnSkinBeaute ahh I'm too much of a bitch to live off campus. I get lazy and wouldn't want to drive home :)
5aa8a5280f,@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol
7dd57c2598,@_CaliStrong - lol it's possible that a hoe can treat you the right way but will she love you the right way? No. A hoe will be a hoe.
142108215,"@_CaliStrong - lol just think about it, there is a right way &amp; a wrong way to love someone. a hoe may just love you for what you got."
f4aba8da1c,@_CharlieA_37 @sean_landez07 y'all's are all little punk ass bitches doe
9cf9045a3c,"@_Corayma @LuivilleSluggah TF do I look like, delivery bitch or what ahaha"
1962095a32,"@_DCorNothing_ @KyariesDa4 he should! I got tired of hearing how he can eat pussy 10,000 ways like damn &#128514;&#128514;"
